one-family dwelling,CA,Foster City,94404,"2545, 777 Shell Blvd"
restricted density multiple dwelling,CA,Menlo Park,94025,2800 Sand Hill Road
historic preservation overlay zone,CA,Foster City,94404,919 Edgewater Blvd
limited manufacturing,CA,Belmont,94002,1309 Elmer St A
restricted density multiple dwelling,CA,San Carlos,94070,1106 Alameda de las Pulgas
limited ground floor commercial,CA,Redwood City,94063,2006 Broadway
restricted industrial,CA,Menlo Park,94027,299 Alameda de las Pulgas
one-family dwelling,CA,Redwood City,94063,1555 El Camino Real
limited manufacturing,CA,Half Moon Bay,94019,250 Poplar St
restricted light industrial,CA,Hayward,94544,1768-1798 Canterbury Ln
restricted density multiple dwelling,CA,Daly City,94015,260 Washington St
historic preservation overlay zone,CA,Redwood City,94063,840 Sweeney Ave
limited ground floor commercial,CA,Pacifica,94044,104 Hilton Way
two-family dwellings,CA,Redwood City,94063,2645 Fair Oaks Ave
one-family dwelling,CA,Burlingame,94010,1715 Quesada Way
two-family dwellings,CA,Fremont,94538,39324 Argonaut Way
restricted industrial,CA,Palo Alto,94301,535 Ramona St
one-family dwelling,CA,Redwood City,94061,2521 Goodwin Ave
restricted light industrial,CA,Woodside,94062,17288 Skyline Blvd
restricted density multiple dwelling,CA,Menlo Park,94025,3567 Alameda de las Pulgas
